,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2003.0,19504371,4248077,4550779,8382950,3700990,4002340,7491092,11150388,7896121,7567078,20078845,19160997,83630257,30762430,9009212,4566791,4459930,3288258,3130161,7935817,7141698,15747582,33695881,7122073,5690561,9653245,38323574,18164409,3724663,3355613,2047467,2428547,7069192,10960658,5631938,2697530,3640168,4678759,2376279,17455958,2822325,4248345,5752413,4422968,3545529,5238679,3575514
2004.0,19883837,4500069,4606014,8469524,3757770,3961783,7836897,11196075,8132502,7668403,20526591,19670654,97962759,30874470,9267701,4863530,4762465,3351506,3186249,8388888,7512098,16699714,34779076,7505210,6017771,10053804,39192627,19608229,3867749,3571864,2121785,2538156,7453806,11033328,5886707,2993418,3780159,5141381,2475785,17850042,2865032,4418987,5659180,4553708,3588399,5630408,3662933
2005.0,19442200,4368441,4496077,8429234,3692413,3906669,7793926,11277686,8217552,7647591,20646963,19567785,99361375,31327333,9285245,4835863,4733952,3409946,3214802,8423849,7554542,16919108,35609242,7623189,6044224,10034945,39354848,19618189,3862125,3671561,2042353,2433170,7653848,11382777,5942472,2891129,3692927,4975042,2405917,18049118,2874132,4322697,5641146,4331137,3508097,5577729,3652987
2006.0,19093276,4727197,4540964,8483348,3774796,3990670,7919908,11600840,8300856,7805440,20906256,19732013,99912670,32200779,9242706,4763333,4778355,3466335,3286405,8278926,7756142,17174754,37014737,7944885,6145988,10085207,39454331,20091890,3839714,3702275,2093562,2443344,8113637,11447272,5954044,2873896,3846163,5095990,2398803,18054789,2866870,4380900,5702752,4361951,3525501,5652168,3682333
2007.0,18905204,4683697,4489686,8270994,3689919,4095911,7858626,12060622,8350806,7984024,20829690,20077466,100143946,32461844,9123318,4763493,4819512,3498824,3286247,8254266,7704398,17121882,37778381,8211687,6195666,10348251,39852196,19823277,3770674,3614033,2014533,2474107,7957938,11936188,6025403,2848304,3881802,5064325,2346588,18285516,2970098,4423588,5757918,4350338,3560660,5715726,3704986
2008.0,18285018,4462047,4239257,7889410,3477527,3747984,7382738,11554256,7924317,7516345,20068073,19303407,97112753,31320071,8681454,4516691,4648621,3363173,3164047,7927213,7388643,16301808,33637984,7305234,6008747,9959705,38541873,19345361,3654001,3501134,1914067,2320379,7489482,11026919,5757191,2792398,3743268,4709019,2273083,17550335,2837083,4310992,5515669,4277235,3476524,5476267,3667690
2009.0,18137697,4401360,4121508,7741402,3413112,3512878,7024376,10809225,7732670,7308659,19728869,19265129,92059902,29848958,8460554,4161138,4345594,3291471,2970503,7573478,7036710,15011610,32443656,7207157,5825494,9650795,36649230,18394905,3469586,3330256,1837929,2326852,7144667,10555529,5544566,2748416,3680639,4659125,2214252,17491962,2663545,4297381,5366700,3994123,3464883,5348792,3691823
2010.0,18165554,4422900,4053586,7802198,3423257,3615019,6936791,11232676,7938796,7496838,20020989,19377150,91925672,30244370,8586257,4351549,4415554,3340530,3161463,7640898,7085149,15404225,32072720,7388579,5967608,9728425,36726803,19335074,3554306,3503121,1772811,2327375,7103171,10518571,5639727,2864603,3631694,4783322,2232073,17694366,2775532,4352069,5495725,4175884,3481421,5447553,3703999
2011.0,18210144,4411862,4121601,7591136,3471982,3599686,6246660,11420046,7795672,7503518,20618923,19282862,93397128,30547706,8718069,4429104,4409342,3272789,3136409,7588078,7113799,15457366,33048369,7064845,5847431,9847575,37241659,18900912,3487826,3574517,1758193,2355300,7285057,11012893,5668390,2877885,3727659,4943758,2245525,17730848,2687198,4386746,5563594,4093849,3511014,5385050,3747868
2012.0,18035737,4464973,4321971,8347397,3454008,3620674,6700791,11480415,7687290,7510216,20367768,19042962,92803575,30031373,8622659,4335165,4459523,3147110,3053703,7548315,7118331,15289445,34641774,7282627,5665149,9785334,36912419,18854905,3484796,3592266,1745257,2296427,7059679,10643624,5610470,2838091,3731541,4603364,2232998,17574401,2635309,4364190,5566921,4089824,3491320,5265235,3779342
2013.0,18288645,4397171,4534398,8545023,3459800,3777993,7194510,11417816,8173603,7802286,20805723,19787694,94030569,30333777,8683814,4371408,4552066,3163823,3069484,7704408,7065626,15636471,35391513,7655606,5839233,9759046,37206907,19156780,3517701,3589080,1771152,2319041,7268019,10794831,5772158,2948645,3644825,4706338,2305698,17849964,2687393,4367240,5573029,4067224,3588624,5271727,3912576
2014.0,18484615,4427910,4647038,8895851,3458566,3754564,7399862,11612394,8182902,8005480,20914429,20044937,94902086,30322048,8699072,4452554,4588046,3129992,3118690,7886952,7208829,15442514,35990293,7656376,5845873,10053754,37933987,19788071,3540714,3579029,1779178,2382265,7242774,11237887,5969042,3012328,3672273,4756495,2349510,18112171,2737221,4310310,5599928,4142638,3643441,5330338,4051060
