,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
世帯主・同居の家族名義,3160,4115,3140,4116,3769,4088,3769,4967,5076,4609,4607,4348,4361,4326,4063,5693,4516,4824,4278,5028,4574,4956,5287,5388,5730,4016,3852,4298,4022,4927,4346,3718,4089,3769,4518,4328,4199,3647,3202,3263,4260,2855,3300,3558,2882,3019,4112
現住所以外,2010,3927,4327,4664,2003,3704,5041,6945,6129,5818,7995,4686,8670,7858,3969,5333,4588,7932,4183,6467,6115,8227,8154,5382,6494,5912,4994,4892,2823,3793,2629,3789,3404,6098,5692,5391,4679,4144,5485,4123,3549,2398,3108,4088,2418,2495,5286
宅地,1595,3527,3289,3894,1633,3252,4444,6085,4884,4678,6946,3689,6879,6164,3363,4611,3992,6725,3615,5164,4456,6518,6276,4470,5856,4674,3816,4008,2399,3045,2151,2936,2571,4915,4187,4420,3824,3465,3469,2987,2815,1610,2276,3166,1726,2048,4477
住宅,415,400,1038,770,370,452,597,860,1245,1140,1050,997,1791,1694,606,722,596,1207,567,1303,1659,1708,1878,912,638,1238,1178,884,423,748,477,853,833,1183,1505,971,855,678,2016,1135,735,788,833,922,692,447,810
耐久消費財資産額,1097,1231,1149,1285,1293,1442,1289,1597,1574,1635,1332,1365,1135,1296,1503,1588,1484,1692,1404,1462,1610,1567,1671,1635,1638,1229,1116,1279,1392,1334,1402,1364,1472,1283,1365,1456,1414,1136,1219,1235,1297,1017,1253,1236,1180,1141,798
うち自動車,552,669,633,686,724,787,719,894,900,970,661,686,459,596,852,854,825,965,795,831,932,887,945,904,880,523,487,591,679,651,765,726,748,633,703,708,713,502,644,617,673,472,636,658,627,612,359
ゴルフ会員権などの資産,79,33,41,46,48,34,61,121,159,117,151,178,257,236,111,173,56,64,130,84,199,161,232,139,80,104,181,175,145,85,84,95,155,82,40,104,74,131,186,61,62,59,53,61,20,66,65
宅地保有率,73,89,80.7,82.2,85.2,87.8,79.5,86,86.4,86.5,80.3,81.2,67.6,71.9,84.6,87.8,88.2,85.9,76.6,81.1,89.9,81.4,79.7,91.8,90.4,83.9,70.2,75,80.8,86,86.3,81.6,81.9,77.4,78.9,83.1,88.7,78.5,81.4,71.6,84.8,67.5,78.7,76.6,74.1,76.7,59.5
現居住地,71.3,87.8,78.9,80.2,84.1,86.2,77.1,84.5,85,85.5,79.3,79.8,64.5,69.5,82.4,85.6,87.7,83,73.9,79.2,89,79.9,78.4,90.1,89.8,83.3,68.8,73.7,79.7,85,85.7,79.4,80.7,75.6,77.5,80.2,86.5,77,80.2,69.6,83.9,64.9,77.7,74.9,71.9,74.7,56.6
現居住地以外,11.4,13.7,14.1,13,10.8,12,11.8,15,15.4,11.7,10.5,11.1,11.6,11.1,15.1,15.9,14,19.2,13.5,14.3,15.1,14.1,14.5,15.5,12.8,10,8.5,9.8,10.1,12.5,10.5,15.8,13.3,14.9,11.9,14.5,17.1,12.7,16.1,10.5,13.1,9.1,10.4,11.2,13.1,10.6,10.7
住宅保有率,75.4,90.2,85.7,83.3,86.8,89,84.3,88.1,89.4,89.4,83.9,83.3,76.7,76.6,88.7,92.1,90.6,90.1,78,84.5,92.1,83.8,83.4,93.1,92.1,87.7,74.4,80.3,83.6,89.9,88,85.3,84.5,80,81.8,84.5,89.2,81,84,74.3,87.1,73.5,81.5,78.4,76.5,77.5,65.6
現住居,74.6,89.8,83.9,81.6,86.5,88.2,83,87.2,88.5,88.8,83.1,82.3,74.6,74.5,86.9,90.8,90.3,89.2,76.1,82.8,92,82.6,82.3,92.2,91.6,87,73.4,79,82,88.3,87.4,83.5,83.6,78.7,81.1,82.8,87.9,80.3,83.4,72.9,86.4,71.7,80.9,77,75.1,76.2,64.3
現住居以外,7.4,7.4,11.2,11.2,7.7,8.5,10.3,9.8,11,10.9,9.2,10.2,14.4,12,10.1,10.9,10.6,14.4,8.9,13.8,11.5,10.8,12.1,12.6,10.4,10.4,10.5,9.7,9,13.3,9.9,13.3,10.4,13.6,11.2,11.9,12.9,10.8,15.5,8.9,11.1,10.3,8.2,10.7,11.2,9,7.1
自動車保有台数(1000世帯当たり),1333,1699,1791,1637,1791,2132,1939,2060,2004,2107,1315,1349,738,1001,1891,2020,1835,2133,1864,2040,2023,1781,1655,1938,1803,1181,917,1194,1512,1758,1994,1809,1812,1435,1559,1983,1828,1537,1664,1420,1997,1447,1802,1754,1762,1675,1477
可処分所得,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
消費支出,292360,268959,302663,311767,288808,327692,315194,347211,345006,320526,337853,339063,347774,348226,334985,342505,322947,339749,308183,321893,335314,331904,335294,341767,341685,313528,304936,315247,324560,312935,315675,313814,308071,320031,308161,322646,334677,298530,304472,313402,304091,288588,289629,285420,276086,275106,237947
うち耐久財,12260,11221,12559,14709,13935,21941,17834,22276,16517,20366,16955,18764,13927,16136,25165,18446,19026,18892,10494,22482,17933,22133,19024,21167,22118,18232,13353,17765,13648,17274,15429,14766,19814,16414,17402,20025,27571,15772,12375,17044,13194,16566,13587,17753,11605,13902,9986
土地家屋借金返済,20124,20956,18223,22761,18853,19738,16629,21031,22856,20909,32207,25402,29751,30657,19689,22911,24726,22171,21259,23411,20960,30672,23610,22978,34703,22901,28655,27539,25904,18932,17605,16692,20468,20592,23337,18313,17529,19763,16027,22819,21643,15311,19562,16883,15414,17332,20242
