,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1999,3458661.451924767,3062446.8517264733,3316238.5321100918,3644144.4915254237,3205993.3054393306,3306061.748195669,3686462.658525129,3728017.108352902,3878328.007988018,3899262.376237624,2918396.4668404288,3097124.2151705413,6947478.4277726775,3494549.2172675524,3835539.081385979,3877721.0338680926,3861238.13559322,3826676.328502415,3585993.235625705,3682343.438914027,3427069.7674418613,3938471.151289551,4641684.698829575,3365778.556034483,4241436.186186186,3512683.93194707,4501265.17644389,3533424.5658465987,2556576.1772853183,2978770.9497206705,3441144.951140065,3159482.306684141,3667577.0609319,3754607.427976397,3593217.589576547,3190322.8536880286,3564744.3902439023,3174796.122994652,2909934.969325153,3459213.914434226,3254089.874857793,2904939.473684211,3034919.935518538,3472892.9738562093,2859981.2286689417,2904803.691275168,2625396.0244648317
2004,3519263.185840708,3107782.4585635364,3301802.150537635,3579680.4733727807,3250666.089965398,3236750.816993464,3728304.9476688877,3754552.3138833,4033979.166666666,3783129.2550567337,2913226.085722396,3252960.8070117417,7848322.30411793,3527301.496629727,3790470.756646217,4361910.313901345,4042839.5585738537,4067361.650485437,3596217.8329571113,3802759.7461468717,3563613.851992409,4405094.697968873,4824396.72631433,4019930.369576861,4376560.727272728,3793888.301886792,4441090.878186968,3506478.719599428,2708507.7030812325,3418051.674641148,3478336.0655737706,3397799.1967871487,3804903.5222052075,3832347.3428273695,3919245.672436752,3677417.69041769,3720628.937007874,3485682.033898305,3087013.715710724,3534661.782178218,3293140.2298850575,2965763.0872483226,3062326.8398268395,3750995.057660626,3096116.4797239,3193651.7300056717,2707267.553584627
2009,3283435.372918175,3182472.8850325383,3075752.23880597,3297019.5911413967,3111314.4940747493,2982069.60950764,3441634.4928956395,3639469.696969697,3845186.4743908495,3628927.010923536,2755043.848624494,3117334.7896440127,7055479.920294298,3314341.328003553,3547402.096436058,3789743.169398907,3711011.101622545,4063544.4444444436,3426185.697808536,3502996.2997224787,3365236.728837877,3968176.0507533695,4377770.341384429,3866500.5364806876,4134488.2895670687,3659762.988244217,4138817.617165443,3290092.112323377,2471215.0997151,3303825.3968253965,3104609.7972972975,3227256.588072122,3665811.6983068236,3685589.734636872,3800250.8567511993,3479007.594936709,3684323.323323323,3240003.47705146,2879391.4174252283,3454178.909952607,3122561.5474794838,2996778.9400278935,2947116.9686985174,3328435.833333333,3044712.6537785586,3124294.392523365,2665576.1732851984
2014,3416749.5378927914,3346870.7482993193,3602355.03875969,3809786.2955032117,3335164.898746384,3310902.998236332,3840094.447327452,3967336.522036215,4132778.787878788,4045214.7549267295,2885943.0109010623,3228368.0141729745,7082773.789088737,3330995.056574756,3749600.0,4153501.8656716417,3965467.588591185,3957006.3211125163,3708311.5338882287,3737891.943127962,3528550.660792952,4156800.538358009,4821850.616291533,4192976.99890471,4134280.763790664,3843178.134556575,4288749.236856981,3565418.1981981983,2578815.7319737803,3682128.600823045,3083497.4003466205,3408104.43490701,3760526.4797507785,3948660.22487702,4218404.2402826855,3948005.242463958,3747217.3469387763,3407231.375358166,3192269.021739131,3552102.569131202,3270275.9856630825,3107649.603460707,3119737.047353761,3531660.699062234,3276475.71942446,3207182.912154032,2840855.5399719495
