,都道府県,世帯総数,一般世帯,施設
0,北海道,"2,380,251","2,368,892","6,028"
1,青森県,"510,779","509,107","1,421"
2,岩手県,"483,926","479,302",904
3,宮城県,"865,200","858,628","1,326"
4,秋田県,"393,038","391,276","1,300"
5,山形県,"386,728","385,416",748
6,福島県,"709,644","707,223","1,126"
7,茨城県,"1,032,476","1,029,481","1,514"
8,栃木県,"709,346","705,206",925
9,群馬県,"726,203","724,121","1,227"
10,埼玉県,"2,650,115","2,630,623","2,471"
11,千葉県,"2,325,232","2,304,321","2,953"
12,東京都,"5,890,792","5,747,460","10,210"
13,神奈川県,"3,591,866","3,549,710","11,533"
14,新潟県,"819,552","812,726","1,876"
15,富山県,"371,815","370,230",767
16,石川県,"424,585","423,157",775
17,福井県,"269,577","267,385",833
18,山梨県,"321,261","320,170",586
19,長野県,"780,245","777,931","1,232"
20,岐阜県,"713,452","710,166","1,896"
21,静岡県,"1,353,578","1,346,952","2,131"
22,愛知県,"2,758,637","2,724,476","2,831"
23,三重県,"675,459","672,552",948
24,滋賀県,"479,217","477,645",616
25,京都府,"1,079,041","1,063,907","1,492"
26,大阪府,"3,654,293","3,590,593","14,135"
27,兵庫県,"2,146,488","2,128,963","2,961"
28,奈良県,"503,068","500,994",769
29,和歌山県,"384,880","383,214",670
30,鳥取県,"209,541","208,526",609
31,島根県,"260,864","259,289",728
32,岡山県,"732,346","724,474","1,302"
33,広島県,"1,145,551","1,131,024","1,906"
34,山口県,"591,460","588,736","1,094"
35,徳島県,"298,480","297,539",797
36,香川県,"377,691","375,634",715
37,愛媛県,"582,803","581,003","1,078"
38,高知県,"324,439","323,327",997
39,福岡県,"2,009,911","1,984,662","3,398"
40,佐賀県,"287,431","286,239",851
41,長崎県,"553,620","551,530","1,551"
42,熊本県,"667,533","664,338","1,732"
43,大分県,"469,270","465,195","1,167"
44,宮崎県,"451,208","449,269","1,299"
45,鹿児島県,"725,045","722,937","1,824"
46,沖縄県,"488,368","486,981","1,047"
